name,longitude,latitude,source,index
昆明石油公司慧达加油站,102.553768,25.219444,3,5927
服务区－双龙加油站,102.835211,25.095018,3,5928
凤鸣农机加油站,103.029443,24.987581,3,5929
昆钢元山加油站,102.495869,24.916322,3,5930
加油站,103.353806,24.86008,3,5932
中坤加油站,102.719014,25.008407,3,5933
安宁停车区－加油站,102.529009,24.892843,3,5934
加油站,102.526136,25.989619,3,5935
加油站,102.806389,24.870087,3,5936
圆通加油站,102.718669,25.04989,3,5937
加油站,103.149473,24.933417,3,5938
八八加油站,103.141055,25.461397,3,5939
果园加油站,102.967456,25.63222,3,5940
双通加油站,103.242936,24.885796,3,5941
加油站,102.864302,25.482971,3,5942
余家海服务区－余家海加油站,102.652508,24.661175,3,5943
万里达石油,102.964774,24.952765,3,5944
金虎加油站,102.754897,24.715831,3,5946
永定加油站,102.507665,25.217874,3,5948
昆阳加油站,102.646495,24.654123,3,5949
加油站,103.272797,24.76226,3,5950
加油站,103.140802,24.958115,3,5952
武定县第二加油站,102.405931,25.544955,3,5953
加油站,102.80412,24.875587,3,5954
银河加油站,102.741388,25.118594,3,5955
黄土坡加油站,102.667105,25.064919,3,5956
加油站,103.040833,24.965347,3,5958
云溪加油站,102.752198,24.975503,3,5960
为民加油站,103.620418,24.640521,3,5961
碧鸡加油站,102.595394,24.96667,3,5963
道院加油站,103.286901,25.548978,3,5964
昆石加油站,103.165354,24.916918,3,5965
红光加油站,103.177319,24.934472,3,5966
加油站,103.141606,24.910278,3,5967
汤丹矿业加油站,103.076386,26.195763,3,5968
加油站,103.56115,24.64081,3,5969
加油站,102.600061,24.977236,3,5971
兴隆加油站,102.593685,24.679741,3,5972
北门加油站,102.59589,24.674557,3,5973
加油站,102.571205,24.557678,3,5974
城东加油站,103.583643,25.418137,3,5975
天然气加气站,103.644111,25.013069,3,5977
寻甸倘甸新兴加油站,102.924811,25.774742,3,5979
金甸湾加油站,102.914858,24.951468,3,5980
加油站,103.323716,24.838257,3,5981
服务区－昆曲加油站A站,102.75688,25.09541,3,5982
东电加油站,103.172413,26.109015,3,5983
护林加油站,103.243462,25.545269,3,5984
武定响塘凹加油站,102.41465,25.531541,3,5985
小哨停车区－小哨A加油站,102.936487,25.195142,3,5986
省委加油站,102.69872,25.036306,3,5988
和平加油站,102.203907,25.209898,3,5989
寻甸县大石洞加油站,102.842236,25.506642,3,5990
关上加油站,102.753679,25.008912,3,5991
寻甸哨上加油站,103.213689,25.548049,3,5993
加油站,103.042423,24.961528,3,5994
服务区－高楼房加油站,102.80699,24.954926,3,5995
兴隆加油站,102.676578,25.518286,3,5996
加油站,102.776306,25.041566,3,5997
小板桥加油站,102.77654,24.971193,3,5998
双龙服务区－双龙加油站,102.834943,25.118054,3,5999
明山加油站,103.107043,25.339765,3,6001
服务区－北二环南加油站,102.705568,25.078606,3,6002
左所服务区－三所加油站,103.346792,25.374872,3,6004
牧羊加油站,102.820363,25.376314,3,6005
杨桥加油站,103.044747,25.29792,3,6007
加油站,102.68629,26.120374,3,6008
服务区－加油站,102.772735,25.036181,3,6010
晋宁服务区－田心（A）加油站,102.577832,24.678233,3,6011
加油站,102.289727,24.465315,3,6013
加油站,102.691826,24.684408,3,6014
长坡加油站,102.593053,24.961843,3,6017
加油站,102.78568,25.019414,3,6018
土官加油站,102.197763,24.949613,3,6019
老寨加油站,103.547691,24.645569,3,6020
加油站,102.703064,24.988365,3,6021
小新街加油站,103.225335,25.314063,3,6022
加油站,102.692364,24.997165,3,6023
功山加油中心,103.260756,25.716309,3,6025
加油站,102.572472,24.983757,3,6026
小菜园加油站,102.708401,25.06076,3,6029
马龙服务区－马龙（A）加油站,103.573143,25.437754,3,6030
海埂加油站,102.660965,24.988344,3,6033
加油站,102.745577,24.953652,3,6034
加油站,103.171598,26.078969,3,6035
禄发加油站,103.128873,25.854207,3,6036
小庄加油站,102.736689,25.06687,3,6037
加油站,102.766833,24.963137,3,6038
安宁加油站,102.467819,24.926453,3,6039
加油站,102.91244,25.075967,3,6040
加油站,103.368945,25.086833,3,6042
加油站,102.662649,24.831449,3,6043
加油站,102.729994,25.127769,3,6045
荣发加油站,103.195076,25.55635,3,6046
满意加油站,102.457091,25.398649,3,6047
锦华加油站,102.658685,25.046844,3,6048
加油站,102.461234,24.920317,3,6049
凤踪加油站,102.622242,24.65086,3,6051
加油站,102.676969,24.534167,3,6053
加油站,103.207018,25.189429,3,6055
谭官营加油站,103.149635,24.90125,3,6056
龙泉加油站,102.722877,25.105998,3,6057
学府加油站,102.686814,25.064314,3,6059
